iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
STP,Africa,Sao Tome and Principe,2021-06-27,2365.0,0.0,0.429,37.0,0.0,0.0,10791.154,0.0,1.956,168.826,0.0,0.0,0.95,,,,,,,,,,,,,,,,,,24908.0,13354.0,11554.0,,99.0,11.37,6.09,5.27,452.0,,219161.0,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,
SAU,Asia,Saudi Arabia,2021-06-27,483221.0,1218.0,1290.0,7775.0,15.0,14.0,13880.13,34.986,37.054,223.331,0.431,0.402,1.05,,,,,,,,,91021.0,21310136.0,612.116,2.615,85363.0,2.452,0.015,68.5,tests performed,17339253.0,,,122137.0,98594.0,49.81,,,2832.0,53.7,34813867.0,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,
SEN,Africa,Senegal,2021-06-27,42904.0,53.0,71.429,1164.0,1.0,0.857,2562.361,3.165,4.266,69.518,0.06,0.051,1.18,,,,,,,,,1582.0,566577.0,33.838,0.094,1579.0,0.094,0.043,23.5,tests performed,632648.0,480311.0,152337.0,7200.0,13597.0,3.78,2.87,0.91,812.0,,16743930.0,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,
SRB,Europe,Serbia,2021-06-27,716301.0,63.0,78.286,7031.0,2.0,4.286,105267.234,9.258,11.505,1033.272,0.294,0.63,0.63,,,,,,,,,8368.0,4361392.0,640.948,1.23,8429.0,1.239,0.012,83.2,people tested,5146241.0,2693998.0,2452243.0,,23928.0,75.63,39.59,36.04,3516.0,,6804596.0,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,
SYC,Africa,Seychelles,2021-06-27,15116.0,0.0,141.857,63.0,0.0,1.143,153711.613,0.0,1442.517,640.635,0.0,11.621,1.22,,,,,,,,,,,,,,,,,,137976.0,70671.0,67305.0,,51.0,140.31,71.86,68.44,519.0,71.3,98340.0,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,
SLE,Africa,Sierra Leone,2021-06-27,5381.0,75.0,80.714,94.0,1.0,1.714,674.566,9.402,10.118,11.784,0.125,0.215,1.91,,,,,,,,,,,,,,,,,,97315.0,82145.0,15170.0,,906.0,1.22,1.03,0.19,114.0,50.0,7976985.0,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,
SGP,Asia,Singapore,2021-06-27,62544.0,14.0,18.571,36.0,0.0,0.286,10690.655,2.393,3.174,6.153,0.0,0.049,0.98,,,,,,,,,,13287834.0,2271.291,,68383.0,11.689,0.0,3710.6,samples tested,5029006.0,2971570.0,2057436.0,,48231.0,85.96,50.79,35.17,8244.0,58.33,5850343.0,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,
SXM,North America,Sint Maarten (Dutch part),2021-06-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36209.0,20358.0,15851.0,,310.0,84.44,47.47,36.96,7229.0,,42882.0,1209.088,,,,36327.232,,,,,,,,78.95,,
SVK,Europe,Slovakia,2021-06-27,391551.0,20.0,43.286,12505.0,0.0,3.857,71717.327,3.663,7.928,2290.443,0.0,0.706,0.72,,,158.0,28.94,,,,,30044.0,39644079.0,7261.295,5.503,45289.0,8.295,0.002,500.0,tests performed,3399122.0,1978168.0,1420954.0,24264.0,34405.0,62.26,36.23,26.03,6302.0,50.0,5459643.0,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,
SVN,Europe,Slovenia,2021-06-27,257240.0,19.0,36.857,4419.0,0.0,1.0,123736.611,9.139,17.729,2125.611,0.0,0.481,0.56,37.0,17.798,102.0,49.064,13.887,6.68,49.596,23.857,2161.0,1341183.0,645.131,1.039,1806.0,0.869,0.027,37.0,tests performed,1458834.0,814441.0,644393.0,3.0,8978.0,70.17,39.18,31.0,4319.0,35.19,2078932.0,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,
SLB,Oceania,Solomon Islands,2021-06-27,20.0,0.0,0.0,,,0.0,29.117,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,18042.0,,,,,2.63,,,25.0,686878.0,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,
